from,to,weight
Platzeck,11,2
Pofalla,5,3
Pofalla,9,2
Praetorius,7,3
Tillich,9,2
Hasselfeldt,2,2
Hasselfeldt,10,2
Kampeter,2,2
Kampeter,9,2
Kapferer,2,2
Kapferer,1,1
Kempf,2,2
Nemat,5,2
Reiche,2,2
Reiche,9,2
Röstel,5,2
Schweitzer,2,2
Schweitzer,5,2
Grothus,4,2
Grothus,8,2
Wodtke,9,2
Wodtke,4,2
Wodtke,8,2
Herntier,8,2
Kreuzberg,9,2
Kreuzberg,8,2
Priggen,12,2
Priggen,2,2
Priggen,8,2
Vassiliadis,3,2
Vassiliadis,11,1
Scheidt,3,2
Scheidt,11,1
Scheidt,6,2
Körzell,3,2
Körzell,11,1
Kaiser,4,2
Weiger,4,2
Weiger,1,2
Niebert,2,2
Niebert,4,2
Niebert,7,2
Allmendinger,7,2
Matthes,7,2
Schnellnhuber,7,2
Schnellnhuber,1,3
Niebuhr,7,2
Wehrspohn,7,2
Lämmel,9,2
Lämmel,1,1
Lenz,10,2
Lenz,1,1
Miersch,11,2
Miersch,4,1
