id,name,type,party,age,sex
Platzeck,Platzeck,0,SPD,3,2
Pofalla,Pofalla,0,CDU,3,2
Praetorius,Praetorius,0,NA,2,1
Tillich,Tillich,0,CDU,3,2
Hasselfeldt,Hasselfeldt,0,CSU,3,1
Kampeter,Kampeter,0,CDU,2,2
Kapferer,Kapferer,0,FDP,2,2
Kempf,Kempf,0,NA,3,2
Nemat,Nemat,0,NA,2,1
Reiche,Reiche,0,CDU,2,1
Roestel,Roestel,0,Gruene,2,1
Schweitzer,Schweitzer,0,FDP,2,2
Grothus,Grothus,0,NA,2,1
Wodtke,Wodtke,0,CDU,3,1
Herntier,Herntier,0,NA,3,1
Kreuzberg,Kreuzberg,0,CDU,3,2
Priggen,Priggen,0,Gruene,3,2
Vassiliadis,Vassiliadis,0,SPD,2,2
Scheidt,Scheidt,0,SPD,2,2
Koerzell,Koerzell,0,SPD,2,2
Kaiser,Kaiser,0,NA,2,2
Weiger,Weiger,0,NA,4,2
Niebert,Niebert,0,NA,1,2
Allmendinger,Allmendinger,0,NA,3,1
Matthes,Matthes,0,NA,2,2
Schnellnhuber,Schnellnhuber,0,NA,3,2
Niebuhr,Niebuhr,0,NA,2,1
Wehrspohn,Wehrspohn,0,NA,2,2
Laemmel,Laemmel,0,CDU,2,2
Lenz,Lenz,0,CSU,1,2
Miersch,Miersch,0,SPD,2,2
Politik,1,1,NA,NA,NA
Verband,2,1,NA,NA,NA
Gewerkschaft,3,1,NA,NA,NA
Umweltschutz,4,1,NA,NA,NA
Industrie,5,1,NA,NA,NA
Energieunternehmen,6,1,NA,NA,NA
Wissenschaft,7,1,NA,NA,NA
Regionalvertreter,8,1,NA,NA,NA
CDU,9,1,NA,NA,NA
CSU,10,1,NA,NA,NA
SPD,11,1,NA,NA,NA
Gruene,12,1,NA,NA,NA
